"Date","Ozone AQI Value","Main Pollutant","Site Name","Site ID","Source"
"02/22/2013","108","","Not Available","49-047-2003","AQS"
"02/23/2013","61","","Not Available","49-047-2003","AQS"
"02/24/2013","46","","Little Mountain","49-047-0014","AQS"
"02/25/2013","97","","Not Available","49-047-2003","AQS"
"02/26/2013","147","","Not Available","49-047-2003","AQS"
"02/27/2013","108","","Not Available","49-047-2003","AQS"
"02/28/2013","161","","Not Available","49-047-2003","AQS"
"03/01/2013","220","","Not Available","49-047-2003","AQS"
"03/02/2013","230","","Not Available","49-047-2003","AQS"
"03/03/2013","238","","Not Available","49-047-2003","AQS"
"03/04/2013","64","","Little Mountain","49-047-0014","AQS"
"03/05/2013","87","","Little Mountain","49-047-0014","AQS"
"03/06/2013","179","","Not Available","49-047-2003","AQS"
"03/07/2013","229","","Not Available","49-047-2003","AQS"
"03/08/2013","164","","Not Available","49-047-2003","AQS"
"03/09/2013","44","","Little Mountain","49-047-0014","AQS"
"03/10/2013","67","","Not Available","49-047-2003","AQS"
"03/11/2013","84","","Not Available","49-047-2003","AQS"
"03/12/2013","80","","Not Available","49-047-2003","AQS"
"03/13/2013","64","","Not Available","49-047-2003","AQS"
"03/14/2013","67","","Not Available","49-047-2003","AQS"
"03/15/2013","61","","Not Available","49-047-2003","AQS"
"03/16/2013","54","","Little Mountain","49-047-0014","AQS"
"03/17/2013","50","","Not Available","49-047-5632","AQS"
"03/18/2013","58","","Little Mountain","49-047-0014","AQS"
"03/19/2013","58","","Little Mountain","49-047-0014","AQS"
"03/20/2013","44","","Vernal","49-047-1003","AQS"
"03/21/2013","67","","Not Available","49-047-5632","AQS"
"03/22/2013","61","","Little Mountain","49-047-0014","AQS"
"03/23/2013","54","","Little Mountain","49-047-0014","AQS"
"03/24/2013","54","","Little Mountain","49-047-0014","AQS"
"03/25/2013","61","","Little Mountain","49-047-0014","AQS"
"03/26/2013","61","","Little Mountain","49-047-0014","AQS"
"03/27/2013","64","","Not Available","49-047-2003","AQS"
"03/28/2013","64","","Little Mountain","49-047-0014","AQS"
"03/29/2013","51","","Little Mountain","49-047-0014","AQS"
"03/30/2013","48","","Little Mountain","49-047-0014","AQS"
"03/31/2013","51","","Little Mountain","49-047-0014","AQS"
"04/01/2013","67","","Little Mountain","49-047-0014","AQS"
"04/02/2013","51","","Little Mountain","49-047-0014","AQS"
"04/03/2013","49","","Little Mountain","49-047-0014","AQS"
"04/04/2013","48","","Little Mountain","49-047-0014","AQS"
"04/05/2013","61","","Little Mountain","49-047-0014","AQS"
"04/06/2013","54","","Little Mountain","49-047-0014","AQS"
"04/07/2013","48","","Vernal","49-047-1003","AQS"
"04/08/2013","58","","Little Mountain","49-047-0014","AQS"
"04/09/2013","48","","Vernal","49-047-1003","AQS"
"04/10/2013","51","","Not Available","49-047-2003","AQS"
"04/11/2013","50","","Little Mountain","49-047-0014","AQS"
"04/12/2013","58","","Little Mountain","49-047-0014","AQS"
"04/13/2013","45","","Not Available","49-047-5632","AQS"
"04/14/2013","51","","Vernal","49-047-1003","AQS"
"04/15/2013","50","","Little Mountain","49-047-0014","AQS"
"04/16/2013","50","","Little Mountain","49-047-0014","AQS"
"04/17/2013","49","","Little Mountain","49-047-0014","AQS"
"04/18/2013","61","","Little Mountain","49-047-0014","AQS"
"04/19/2013","48","","Vernal","49-047-1003","AQS"
"04/20/2013","44","","Little Mountain","49-047-0014","AQS"
"04/21/2013","61","","Little Mountain","49-047-0014","AQS"
"04/22/2013","58","","STATION NEAR INTERSECTION OF WHITEROCK CANYON RD & QURAY CANAL","49-047-7022","AQS"
"04/23/2013","61","","Little Mountain","49-047-0014","AQS"
"04/24/2013","64","","Vernal","49-047-1003","AQS"
"04/25/2013","87","","Little Mountain","49-047-0014","AQS"
"04/26/2013","74","","Not Available","49-047-5632","AQS"
"04/27/2013","77","","Little Mountain","49-047-0014","AQS"
"04/28/2013","58","","Little Mountain","49-047-0014","AQS"
"04/29/2013","50","","Little Mountain","49-047-0014","AQS"
"04/30/2013","90","","Little Mountain","49-047-0014","AQS"
"05/01/2013","64","","Not Available","49-047-5632","AQS"
"05/02/2013","74","","Little Mountain","49-047-0014","AQS"
"05/03/2013","80","","Little Mountain","49-047-0014","AQS"
"05/04/2013","58","","Vernal","49-047-1003","AQS"
"05/05/2013","67","","Not Available","49-047-2003","AQS"
"05/06/2013","77","","STATION NEAR INTERSECTION OF WHITEROCK CANYON RD & QURAY CANAL","49-047-7022","AQS"
"05/07/2013","49","","Vernal","49-047-1003","AQS"
"05/08/2013","48","","Not Available","49-047-2003","AQS"
