"Date","Ozone AQI Value","Main Pollutant","Site Name","Site ID","Source"
"02/06/2013","19","","Hawthorne","49-035-3006","AQS"
"02/07/2013","17","","Hawthorne","49-035-3006","AQS"
"02/08/2013","28","","Hawthorne","49-035-3006","AQS"
"02/09/2013","30","","Hawthorne","49-035-3006","AQS"
"02/10/2013","37","","Hawthorne","49-035-3006","AQS"
"02/11/2013","36","","Hawthorne","49-035-3006","AQS"
"02/12/2013","21","","Hawthorne","49-035-3006","AQS"
"02/13/2013","27","","Hawthorne","49-035-3006","AQS"
"02/14/2013","33","","Hawthorne","49-035-3006","AQS"
"02/15/2013","30","","Hawthorne","49-035-3006","AQS"
"02/16/2013","31","","Hawthorne","49-035-3006","AQS"
"02/17/2013","29","","Hawthorne","49-035-3006","AQS"
"02/18/2013","33","","Hawthorne","49-035-3006","AQS"
"02/19/2013","33","","Hawthorne","49-035-3006","AQS"
"02/20/2013","40","","Hawthorne","49-035-3006","AQS"
"02/21/2013","35","","Hawthorne","49-035-3006","AQS"
"02/22/2013","32","","Hawthorne","49-035-3006","AQS"
"02/23/2013","36","","Hawthorne","49-035-3006","AQS"
"02/24/2013","41","","Hawthorne","49-035-3006","AQS"
"02/25/2013","34","","Hawthorne","49-035-3006","AQS"
"02/26/2013","41","","Hawthorne","49-035-3006","AQS"
"02/27/2013","37","","Hawthorne","49-035-3006","AQS"
"02/28/2013","26","","Hawthorne","49-035-3006","AQS"
"03/01/2013","26","","Hawthorne","49-035-3006","AQS"
"03/02/2013","32","","Hawthorne","49-035-3006","AQS"
"03/03/2013","25","","Hawthorne","49-035-3006","AQS"
"03/04/2013","44","","Hawthorne","49-035-3006","AQS"
"03/05/2013","33","","Hawthorne","49-035-3006","AQS"
"03/06/2013","43","","Hawthorne","49-035-3006","AQS"
"03/07/2013","34","","Hawthorne","49-035-3006","AQS"
"03/08/2013","34","","Hawthorne","49-035-3006","AQS"
"03/09/2013","43","","Hawthorne","49-035-3006","AQS"
"03/10/2013","42","","Hawthorne","49-035-3006","AQS"
"03/11/2013","32","","Hawthorne","49-035-3006","AQS"
"03/12/2013","32","","Hawthorne","49-035-3006","AQS"
"03/13/2013","32","","Hawthorne","49-035-3006","AQS"
"03/14/2013","30","","Hawthorne","49-035-3006","AQS"
"03/15/2013","37","","Hawthorne","49-035-3006","AQS"
"03/16/2013","44","","Hawthorne","49-035-3006","AQS"
"03/17/2013","44","","Hawthorne","49-035-3006","AQS"
"03/18/2013","41","","Hawthorne","49-035-3006","AQS"
"03/19/2013","44","","Hawthorne","49-035-3006","AQS"
"03/20/2013","31","","Hawthorne","49-035-3006","AQS"
"03/21/2013","43","","Hawthorne","49-035-3006","AQS"
"03/22/2013","46","","Hawthorne","49-035-3006","AQS"
"03/23/2013","45","","Hawthorne","49-035-3006","AQS"
"03/24/2013","48","","Hawthorne","49-035-3006","AQS"
"03/25/2013","44","","Hawthorne","49-035-3006","AQS"
"03/26/2013","35","","Hawthorne","49-035-3006","AQS"
"03/27/2013","44","","Hawthorne","49-035-3006","AQS"
"03/28/2013","44","","Hawthorne","49-035-3006","AQS"
"03/29/2013","41","","Hawthorne","49-035-3006","AQS"
"03/30/2013","39","","Hawthorne","49-035-3006","AQS"
"03/31/2013","46","","Hawthorne","49-035-3006","AQS"
"04/01/2013","44","","Hawthorne","49-035-3006","AQS"
"04/02/2013","42","","Hawthorne","49-035-3006","AQS"
"04/03/2013","40","","Hawthorne","49-035-3006","AQS"
"04/04/2013","36","","Hawthorne","49-035-3006","AQS"
"04/05/2013","40","","Hawthorne","49-035-3006","AQS"
"04/06/2013","39","","Hawthorne","49-035-3006","AQS"
"04/07/2013","40","","Hawthorne","49-035-3006","AQS"
"04/08/2013","36","","Hawthorne","49-035-3006","AQS"
"04/09/2013","44","","Hawthorne","49-035-3006","AQS"
"04/10/2013","42","","Hawthorne","49-035-3006","AQS"
"04/11/2013","41","","Hawthorne","49-035-3006","AQS"
"04/12/2013","42","","Hawthorne","49-035-3006","AQS"
"04/13/2013","49","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"04/14/2013","47","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"04/15/2013","43","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"04/16/2013","44","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"04/17/2013","46","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"04/18/2013","49","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"04/19/2013","39","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"04/20/2013","40","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"04/21/2013","47","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"04/22/2013","51","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"04/23/2013","61","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"04/24/2013","51","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"04/25/2013","49","","Hawthorne","49-035-3006","AQS"
"04/26/2013","47","","Hawthorne","49-035-3006","AQS"
"04/27/2013","45","","Hawthorne","49-035-3006","AQS"
"04/28/2013","42","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"04/29/2013","44","","Hawthorne","49-035-3006","AQS"
"04/30/2013","74","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"05/01/2013","51","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"05/02/2013","74","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"05/03/2013","51","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"05/04/2013","54","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"05/05/2013","67","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"05/06/2013","80","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"05/07/2013","51","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"05/08/2013","54","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"05/09/2013","64","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"05/10/2013","64","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
